(-0.19140658746671396, 0.0065995854220378776)
(-0.1876986809385237, 0.008330646791067276)
(-0.1839802911118971, 0.010036645538308837)
(-0.18024153386562383, 0.0117217092134043)
(-0.1764644158056507, 0.013393046358421836)
(-0.172663449226833, 0.015043644656677289)
(-0.1687753895647817, 0.01669928976712388)
(-0.16483693850534217, 0.018342987390422453)
(-0.16079976275676366, 0.01999277443458022)
(-0.15665990131414073, 0.02164873479512385)
(-0.1524536225092726, 0.02329321263858341)
(-0.14816996340172703, 0.024928381061331176)
(-0.14381239767825385, 0.026550373733400086)
(-0.13937107671701807, 0.028161512708009206)
(-0.13488669418476684, 0.029743822450190097)
(-0.12980428143356545, 0.03147974031810495)
(-0.125056545894643, 0.03305063897693712)
(-0.12035462400561779, 0.03455656451230934)
(-0.11560974687789176, 0.03602512699047987)
(-0.11081843135305659, 0.03745611232386959)
(-0.10598484573630122, 0.0388468984741315)
(-0.10111722514513467, 0.040193859393679324)
(-0.09622080832623967, 0.041494544154846116)
(-0.09123786441867515, 0.04276300976134273)
(-0.0862364592538531, 0.04397954873142461)
(-0.08122539089882154, 0.045141761229228354)
(-0.07607256877646155, 0.04627862843178281)
(-0.07081354177572124, 0.047377102877070545)
(-0.06566067417028273, 0.04839462361358862)
(-0.060501023118629815, 0.04935522320793718)
(-0.05505475546615881, 0.05030532760279193)
(-0.049311769913418374, 0.051237799751612724)
(-0.04362221735759015, 0.0520950533552799)
(-0.037451732364617414, 0.05294861780849824)
(-0.031777149818042735, 0.053671254800414896)
(-0.0261752829175665, 0.054325716948724914)
(-0.020514115394068236, 0.05492872242852733)
(-0.01478759434049604, 0.05548090725400477)
(-0.00866167784891414, 0.056007674846087194)
(-0.002326267478766867, 0.0564841968927781)
(0.004184725737809531, 0.056904760400440006)
(0.01215809752072651, 0.05731727034762185)
(0.018518981747266402, 0.05758118558219281)
(0.02457610005387533, 0.057773458130732494)
(0.030506064980368966, 0.05790483677511569)
(0.03644640520250382, 0.05797914585954384)
(0.042323418452379906, 0.057995925259242305)
(0.04830832372147331, 0.057954890056174)
(0.054241846700290294, 0.057854967510224134)
(0.06016866518271989, 0.057695103894020223)
(0.06604517253258363, 0.05747614052564544)
(0.07192719709400874, 0.0571949106643593)
(0.07770678568372223, 0.056856774156472674)
(0.0833646753235716, 0.056464618966197755)
(0.08898850818041315, 0.05601242396485785)
(0.09451329979576213, 0.05550597418505527)
(0.09993159388783747, 0.0549475786502266)
(0.10525638245932462, 0.0543372929443881)
(0.11052671679419027, 0.05367117656924768)
(0.11570276465498759, 0.052955174582684734)
(0.120927750383386, 0.05216765612686325)
(-0.39020837874002834, -0.24571952338476227)
(-0.39000033259771244, -0.24542168811812765)
(-0.3898383519126435, -0.24519655805231758)
(-0.38968649766758034, -0.24498871814239118)
(-0.3895004093662544, -0.24473872744659259)
(-0.3893714052800178, -0.2445676488025378)
(-0.38925449093405035, -0.24441435373257983)
(-0.3891312229974622, -0.244254517870003)
